15-37-30-01-04-26,,Pot I Master 1.60,,M·y Bottom ?o,,,M·y Sarin ?o,,,
Time,C,D,H,C/D,H/D,,H/D,C/D avg,C/D min,C/D max
15-38-11-01-04-26,291,1590,1018,18.30188679,64.02515723,,63.88,18.91,18.53,19.22
15-38-27-01-04-26,291,1589,1018,18.31340466,64.06544997,,63.94,18.9,18.57,19.26
15-38-50-01-04-26,293,1589,1018,18.43926998,64.06544997,,63.86,18.73,18.35,19.3
15-39-20-01-04-26,294,1590,1019,18.49056604,64.08805031,,63.86,18.79,18.35,18.98
15-40-24-01-04-26,290,1590,1019,18.23899371,64.08805031,,63.84,18.71,18.39,19.27
15-40-48-01-04-26,292,1589,1018,18.37633732,64.06544997,,63.98,18.95,18.39,19.33
15-41-22-01-04-26,297,1590,1019,18.67924528,64.08805031,,63.78,18.9,18.52,19.33
15-41-42-01-04-26,294,1590,1019,18.49056604,64.08805031,,63.82,18.66,18.22,19.33
15-42-05-01-04-26,295,1590,1020,18.55345912,64.1509434,,64,18.78,18.34,18.97
15-42-33-01-04-26,292,1590,1019,18.36477987,64.08805031,,63.88,18.66,18.28,19.28
15-42-53-01-04-26,295,1590,1019,18.55345912,64.08805031,,,,,
15-43-18-01-04-26,295,1590,1019,18.55345912,64.08805031,,,,,
15-43-37-01-04-26,291,1590,1019,18.30188679,64.08805031,,,,,
15-43-57-01-04-26,292,1590,1019,18.36477987,64.08805031,,,,,
15-44-19-01-04-26,293,1590,1018,18.42767296,64.02515723,,,,,
15-44-47-01-04-26,296,1590,1019,18.6163522,64.08805031,,,,,
15-47-04-01-04-26,291,1590,1019,18.30188679,64.08805031,,,,,
