15-50-11-01-04-26,,Pot J 1.60 Master,,Mįy Bottom ?o,,,Mįy Sarin ?o,,,
Time,C,D,H,C/D,H/D,,H/D,C/D avg,C/D min,C/D max
15-51-14-01-04-26,304,1592,1038,19.09547739,65.20100503,,65.57,19.48,19.04,19.92
15-52-01-01-04-26,302,1592,1038,18.96984925,65.20100503,,65.62,19.5,19.05,19.94
15-52-27-01-04-26,304,1591,1038,19.10747957,65.24198617,,65.62,19.5,19.12,19.87
15-52-54-01-04-26,303,1591,1038,19.04462602,65.24198617,,65.62,19.56,19.05,20
15-53-12-01-04-26,304,1592,1039,19.09547739,65.2638191,,65.51,19.48,18.98,19.86
15-53-28-01-04-26,305,1591,1038,19.17033312,65.24198617,,65.02,19.5,19.12,19.87
15-53-44-01-04-26,305,1591,1039,19.17033312,65.30483972,,65.62,19.62,19.05,20.19
15-54-00-01-04-26,304,1592,1038,19.09547739,65.20100503,,65.55,19.56,19.12,20.13
15-54-20-01-04-26,305,1592,1039,19.15829146,65.2638191,,65.62,19.62,19.24,20.19
15-54-36-01-04-26,304,1592,1038,19.09547739,65.20100503,,65.62,19.56,19.18,19.84
15-54-52-01-04-26,306,1592,1039,19.22110553,65.2638191,,,,,
15-55-26-01-04-26,307,1591,1038,19.29604023,65.24198617,,,,,
